keys,zh,en
MAIN_TITLE,人生塔防,Life Tower Defense
MAIN_SUBTITLE,Life Tower Defense,Life Tower Defense
BTN_START_GAME,开始游戏,Start Game
BTN_CONTINUE_GAME,继续游戏,Continue Game
BTN_META_GROWTH,长效成长,Meta Progression
BTN_LOAD_GAME,载入游戏,Load Game
BTN_QUIT,退出游戏,Quit Game
BTN_LANGUAGE,🌐 语言/Language,🌐 Language
PAUSE_TITLE,暂停,Paused
BTN_RESUME,继续游戏,Resume
BTN_MAIN_MENU,返回主菜单,Main Menu
BTN_ABANDON_GAME,放弃游戏,Abandon Game
HUD_BASE_HP,❤ 基地血量:,❤ Base HP:
HUD_GOLD,💰 金币:,💰 Gold:
HUD_WAVE,⚔ 波次:,⚔ Wave:
HUD_PREPARING,准备中,Preparing
HUD_ATTRIBUTES,📋 属性,📋 Stats
ATTR_TITLE,角色属性,Character Stats
ATTR_AGE,🎂 年龄：%d  |  📌 阶段：%s,🎂 Age: %d  |  📌 Stage: %s
TRAITS_TITLE,词条,Traits
TRAITS_NONE,无,None
EFFECTS_TITLE,生效效果总和,Active Effects
HINT_CLICK_CLOSE,点击任意地方关闭,Click anywhere to close
LANG_SELECT_TITLE,选择语言,Select Language
LANG_ZH,中文,Chinese
LANG_EN,English,English
LOADING_TEXT,加载中...,Loading...
ENDING_RATING,结局评级：%s — %s,Ending Rating: %s — %s
UNKNOWN_ENDING,未知结局,Unknown Ending
ENDING_WISDOM,人生智慧：%d,Life Wisdom: %d
ENDING_DESTINY,命运点数：%d,Destiny Points: %d
BTN_PLAY_AGAIN,再来一次,Play Again
BTN_VIEW_ENDING,查看结局,View Ending
ERA_SELECT_TITLE,选择你的出身,Choose Your Origin
ERA_DISPLAY,时代：%s（%s）,Era: %s (%s)
ERA_DISPLAY_SIMPLE,时代：%s,Era: %s
FAMILY_SELECT,选择家境：,Select Family:
FAMILY_CURRENT,当前：%s,Current: %s
INITIAL_TOWERS,初始防御塔：%s,Initial Towers: %s
BTN_START_LIFE,开始人生,Start Life
BTN_BACK_MENU,返回主菜单,Back to Menu
EVENT_TITLE,事件标题,Event Title
EVENT_DESC,事件描述,Event Description
QUIET_YEAR_1,平淡的一年，没有特别的事情发生。,A quiet year
QUIET_YEAR_2,岁月静好，一切如常。,Peaceful days
QUIET_YEAR_3,波澜不惊的一年，平平淡淡才是真。,An uneventful year
QUIET_YEAR_4,日子就这样一天天过去了。,Days just passed by one after another.
QUIET_YEAR_5,这一年，你只是安静地生活着。,This year
QUIET_YEAR_6,没有惊喜，也没有意外。,No surprises
OPTION_LABEL,选项 %d,Option %d
REQUIREMENT_NEED,[需要: %s],[Requires: %s]
TRIGGER_ENDING,[💀 触发结局],[💀 Triggers Ending]
